"","DefenseTeam","OffenseTeam","PassingYards","RushingYards","AvgPassingYardsPerGame","AvgPassingYardsAllowedPerGame","AvgRushingYardsPerGame","AvgRushingYardsAllowedPerGame"
"1","ARI","WAS",258,190,237.142857142857,252.75,136.857142857143,149.125
"2","ATL","PHI",169,119,298.625,338.142857142857,115.25,115
"3","BAL","BUF",160,92,196.428571428571,246.25,111.142857142857,102.875
"4","BAL","CIN",266,115,288.875,246.25,96.375,102.875
"5","BUF","BAL",263,134,298.625,228.428571428571,101.75,112.428571428571
"6","CAR","DAL",179,98,213,287.428571428571,139.857142857143,107.142857142857
"7","CHI","GB",416,69,360.428571428571,298.285714285714,108.428571428571,83.5714285714286
"8","CIN","BAL",398,66,298.625,356,101.75,135.375
"9","CIN","IND",347,77,298.5,356,122.625,135.375
"10","CLE","PIT",377,167,346.428571428571,305,105.571428571429,146.625
"11","DAL","CAR",195,162,254,251,139.714285714286,103.714285714286
"12","DEN","SEA",349,57,235.857142857143,284.125,140.142857142857,141.5
"13","DET","NYJ",235,176,248.75,268.714285714286,118.375,148.285714285714
"14","GB","CHI",182,154,267.857142857143,280.142857142857,142.285714285714,125.428571428571
"15","HOU","NE",277,121,285.285714285714,279.25,125,99.875
"16","IND","CIN",275,98,288.875,302.875,96.375,115.875
"17","JAX","NYG",299,118,327.75,232.25,78.625,125
"18","KC","LAC",480,124,300.714285714286,356.125,132.285714285714,131.625
"19","LA","OAK",387,105,326.857142857143,272.5,102.428571428571,105.125
"20","LAC","KC",268,106,335.625,306.857142857143,118.5,112.714285714286
"21","MIA","TEN",301,164,209.714285714286,308.75,115.428571428571,155.375
"22","MIN","SF",306,95,276.5,287,135.25,98.125
"23","NE","HOU",183,168,291.375,300.714285714286,125.5,115.857142857143
"24","NO","TB",482,115,435.714285714286,347.142857142857,98.2857142857143,77
"25","NYG","JAX",186,139,292.875,268.875,96.75,125
"26","NYJ","DET",406,40,309.142857142857,326.5,114.285714285714,119.375
"27","OAK","LA",233,152,323.375,291.428571428571,156.625,159.857142857143
"28","PHI","ATL",251,77,344.285714285714,295.375,89.5714285714286,84.75
"29","PIT","CLE",204,177,258.375,307,140.5,97.8571428571429
"30","SEA","DEN",393,152,329.125,261.142857142857,142.875,108.285714285714
"31","SF","MIN",244,116,332.375,289.375,94.875,105.625
"32","TB","NO",439,42,296.285714285714,342,108.857142857143,102.857142857143
"33","TEN","MIA",269,136,263.375,253.428571428571,111,117.285714285714
"34","WAS","ARI",150,69,211.125,271.285714285714,67.875,87.4285714285714
